reservation_id,customer_id,table_id,reservation_date,reservation_time,number_of_guests,reservation_status,special_request
255,940,4,8/3/2015,13:30,8,CONFIRMED,Birthday
256,1617,20,11/23/2015,20:15,2,CANCELLED,
257,178,28,7/30/2015,19:45,3,CONFIRMED,
258,572,16,1/8/2015,22:45,8,CANCELLED,Window seat
259,890,8,10/24/2015,14:15,5,CANCELLED,
260,83,14,8/29/2015,22:00,1,COMPLETED,
261,1659,13,12/23/2015,12:45,8,COMPLETED,Window seat
262,1420,3,7/28/2015,14:15,1,COMPLETED,Birthday
263,33,8,9/3/2015,21:30,2,CONFIRMED,Quiet area
264,2000,28,8/21/2015,18:15,1,CANCELLED,Quiet area
265,1284,6,8/26/2015,22:00,5,CANCELLED,
266,1088,13,1/17/2015,15:45,5,COMPLETED,
267,1614,18,12/17/2015,12:30,3,CANCELLED,
268,1819,17,1/27/2015,12:45,5,COMPLETED,Quiet area
269,749,20,7/7/2015,13:00,1,CANCELLED,Window seat
270,489,5,10/4/2015,12:45,5,CANCELLED,
271,1543,28,4/26/2015,16:30,3,COMPLETED,
272,568,22,1/28/2015,12:30,6,COMPLETED,Quiet area
273,963,16,12/30/2015,19:30,2,COMPLETED,
274,386,12,8/23/2015,12:00,2,COMPLETED,Window seat
275,224,10,3/26/2015,15:00,2,CANCELLED,Window seat
276,1792,16,4/15/2015,19:00,2,COMPLETED,Quiet area
277,971,22,6/27/2015,17:45,2,CANCELLED,
278,129,10,1/12/2015,14:30,3,COMPLETED,
279,996,11,10/31/2015,21:45,5,COMPLETED,Birthday
280,1840,19,6/6/2015,13:30,2,CONFIRMED,Quiet area
281,1577,12,1/25/2015,13:30,4,COMPLETED,Quiet area
282,1458,6,10/2/2015,15:15,2,CONFIRMED,Window seat
283,240,6,1/22/2015,16:15,3,COMPLETED,Birthday
284,421,12,10/15/2015,22:00,2,CANCELLED,Birthday
285,764,12,8/18/2015,19:15,2,CANCELLED,Birthday
286,829,4,9/13/2015,13:45,1,COMPLETED,Window seat
287,1326,1,12/28/2015,15:45,5,COMPLETED,
288,1638,22,10/17/2015,22:45,2,COMPLETED,
289,1844,24,1/21/2015,13:00,8,COMPLETED,
290,914,13,7/2/2015,12:30,3,CONFIRMED,
291,1195,21,9/27/2015,14:30,3,CONFIRMED,
292,1387,3,12/10/2015,12:45,8,CONFIRMED,Quiet area
293,1861,11,12/8/2015,16:45,1,CONFIRMED,Quiet area
294,764,12,1/7/2015,15:30,6,COMPLETED,Birthday
295,442,15,8/16/2015,22:45,2,COMPLETED,Birthday
296,1493,6,8/1/2015,13:00,6,CONFIRMED,Window seat
297,1777,10,9/26/2015,16:00,8,CANCELLED,Quiet area
298,839,3,11/24/2015,15:45,1,CONFIRMED,
299,409,15,4/6/2015,17:30,2,CANCELLED,Quiet area
300,1710,2,10/27/2015,15:45,4,CANCELLED,Quiet area
301,1621,8,1/2/2015,13:30,1,COMPLETED,Quiet area
302,855,4,4/2/2015,18:15,4,CONFIRMED,
303,1010,25,2/4/2015,20:30,4,CANCELLED,Quiet area
304,1779,19,5/13/2015,21:45,6,CANCELLED,
305,1732,12,5/13/2015,13:00,1,CONFIRMED,Birthday
306,732,15,3/25/2015,11:30,2,COMPLETED,Quiet area
307,100,21,5/29/2015,15:00,5,CANCELLED,Window seat
308,1567,25,2/18/2015,20:15,2,CANCELLED,Birthday
309,1694,28,12/17/2015,15:30,5,CANCELLED,Birthday
310,1687,4,3/15/2015,11:15,5,CANCELLED,Birthday
311,844,12,6/24/2015,13:00,8,CONFIRMED,Window seat
312,1704,17,4/7/2015,19:00,3,COMPLETED,Quiet area
313,239,30,3/9/2015,11:45,2,COMPLETED,Birthday
314,285,23,8/15/2015,20:30,5,CONFIRMED,Birthday
315,456,1,3/7/2015,22:15,2,CANCELLED,Window seat
316,430,10,3/8/2015,12:45,2,CANCELLED,
317,1587,3,9/5/2015,17:00,1,CONFIRMED,
318,961,2,3/2/2015,15:00,1,CONFIRMED,Birthday
319,1546,22,2/19/2015,12:15,1,CANCELLED,Window seat
320,60,6,2/16/2015,13:30,5,CANCELLED,Birthday
321,1752,12,9/14/2015,22:15,2,CANCELLED,
322,1679,3,10/24/2015,11:15,2,CANCELLED,Window seat
323,1847,10,10/3/2015,11:00,2,CONFIRMED,
324,751,28,12/24/2015,20:15,8,COMPLETED,
325,778,6,8/6/2015,14:15,5,COMPLETED,
326,254,25,8/27/2015,12:15,5,COMPLETED,Birthday
327,1142,23,1/21/2015,12:30,4,COMPLETED,
328,936,13,11/4/2015,22:30,4,CANCELLED,Quiet area
329,596,8,8/8/2015,14:00,6,COMPLETED,Birthday
330,1381,6,9/9/2015,21:00,1,COMPLETED,Quiet area
331,245,17,3/15/2015,17:45,2,CANCELLED,
332,133,4,7/6/2015,14:30,2,CONFIRMED,
333,252,28,4/30/2015,17:45,6,COMPLETED,
334,1549,19,11/26/2015,17:30,4,COMPLETED,
335,1048,13,5/23/2015,13:45,8,CONFIRMED,
336,1019,9,4/29/2015,21:15,8,CONFIRMED,
337,1701,24,2/4/2015,18:00,1,CONFIRMED,Quiet area
338,313,20,6/5/2015,20:00,5,CONFIRMED,
339,1624,25,8/27/2015,14:30,8,CANCELLED,Quiet area
340,1111,16,6/25/2015,19:00,4,CONFIRMED,Quiet area
341,786,29,8/19/2015,16:45,2,COMPLETED,Quiet area
342,363,2,10/13/2015,21:30,1,CANCELLED,Window seat
343,276,16,6/9/2015,22:45,6,COMPLETED,
344,1352,19,10/11/2015,21:45,8,COMPLETED,
345,1038,28,1/29/2015,17:30,2,COMPLETED,
346,1570,13,5/26/2015,16:00,5,CONFIRMED,
347,1715,2,7/7/2015,16:00,2,CANCELLED,Birthday
348,877,13,6/26/2015,16:45,2,COMPLETED,
349,508,22,5/1/2015,21:30,3,CANCELLED,
350,1780,30,6/6/2015,12:30,2,CONFIRMED,
351,77,18,8/24/2015,21:45,5,CANCELLED,
352,547,29,1/11/2015,22:45,6,CANCELLED,
353,1169,11,7/19/2015,16:00,6,COMPLETED,
354,689,23,9/12/2015,19:30,3,CONFIRMED,
355,1986,10,8/12/2015,14:45,5,CANCELLED,
356,589,27,5/16/2015,11:30,3,CANCELLED,Quiet area
357,1280,26,2/17/2015,22:00,3,CANCELLED,Birthday
358,1161,9,9/29/2015,18:45,2,CONFIRMED,Birthday
359,1335,26,6/4/2015,19:30,2,COMPLETED,
360,849,11,7/25/2015,15:45,3,CANCELLED,
361,1286,6,12/27/2015,19:15,1,CANCELLED,Quiet area
362,549,7,11/23/2015,19:45,8,CANCELLED,
363,747,17,8/25/2015,13:15,3,CONFIRMED,Birthday
364,841,28,6/13/2015,12:15,6,COMPLETED,Birthday
365,1324,27,3/24/2015,15:15,4,COMPLETED,Window seat
366,394,4,1/15/2015,14:30,2,COMPLETED,Quiet area
367,865,18,11/28/2015,11:15,6,CONFIRMED,Birthday
368,530,5,5/23/2015,21:15,1,CANCELLED,
369,1603,24,1/11/2015,11:00,8,COMPLETED,
370,1845,10,7/28/2015,16:00,2,COMPLETED,Window seat
371,1170,8,9/14/2015,12:30,2,COMPLETED,
372,1584,8,6/10/2015,16:45,2,CANCELLED,Window seat
373,447,30,3/15/2015,12:15,6,CONFIRMED,Birthday
374,521,15,10/29/2015,11:45,6,CANCELLED,Birthday
375,649,23,10/7/2015,17:45,2,CANCELLED,Window seat
376,744,9,9/1/2015,22:30,2,COMPLETED,
377,1724,21,12/6/2015,11:15,1,COMPLETED,
378,1309,13,12/25/2015,16:00,4,CANCELLED,Window seat
379,796,28,1/5/2015,17:30,8,COMPLETED,
380,610,30,4/18/2015,13:45,3,CANCELLED,Birthday
381,1617,29,1/18/2015,15:00,6,COMPLETED,Quiet area
382,1898,24,6/20/2015,22:45,6,CONFIRMED,Window seat
383,1037,23,2/3/2015,16:45,4,CANCELLED,
384,929,24,12/22/2015,11:00,5,CANCELLED,Window seat
385,1621,21,11/25/2015,13:00,8,COMPLETED,Window seat
386,643,21,10/22/2015,12:00,4,CONFIRMED,Window seat
387,1735,17,11/1/2015,21:45,2,COMPLETED,Quiet area
388,534,16,3/30/2015,21:30,2,COMPLETED,Window seat
389,753,3,4/4/2015,17:45,6,CANCELLED,Window seat
390,1891,1,10/13/2015,21:15,1,CONFIRMED,Quiet area
391,1437,7,3/28/2015,11:45,4,CANCELLED,Quiet area
392,306,20,2/15/2015,16:15,4,CANCELLED,
393,1584,1,8/21/2015,21:45,6,CONFIRMED,Window seat
394,391,23,5/17/2015,15:45,3,COMPLETED,Window seat
395,1229,14,4/21/2015,15:15,3,COMPLETED,Window seat
396,59,14,5/29/2015,15:15,2,CANCELLED,Quiet area
397,758,30,10/26/2015,21:45,3,CONFIRMED,
398,1785,16,6/15/2015,22:45,2,CANCELLED,Window seat
399,1451,23,8/5/2015,22:30,6,CONFIRMED,
400,107,18,6/20/2015,14:45,1,COMPLETED,
401,11,22,5/10/2015,19:45,1,COMPLETED,Quiet area
402,271,22,10/14/2015,11:15,5,COMPLETED,Window seat
403,1906,17,6/23/2015,18:15,8,CONFIRMED,Birthday
404,291,23,5/14/2015,12:30,6,CONFIRMED,Window seat
405,1532,16,7/4/2015,17:30,4,COMPLETED,
406,1059,27,6/10/2015,17:15,4,COMPLETED,Quiet area
407,1139,25,12/3/2015,21:45,2,CONFIRMED,Window seat
408,471,5,4/4/2015,11:45,1,COMPLETED,Window seat
409,894,23,3/1/2015,18:00,8,COMPLETED,Birthday
410,938,23,9/10/2015,12:15,8,CONFIRMED,Birthday
411,1779,3,5/26/2015,13:15,3,CANCELLED,
412,1154,27,12/6/2015,20:15,4,CANCELLED,
413,853,17,2/9/2015,14:45,2,CANCELLED,
414,54,29,5/26/2015,21:00,5,COMPLETED,Birthday
415,1715,19,6/15/2015,13:00,2,CONFIRMED,Quiet area
416,930,27,11/18/2015,15:00,8,COMPLETED,
417,666,21,10/19/2015,13:15,8,CONFIRMED,Birthday
418,1524,11,2/6/2015,19:45,1,CONFIRMED,Quiet area
419,492,9,7/24/2015,12:00,2,CONFIRMED,Window seat
420,584,13,11/28/2015,21:15,6,CONFIRMED,Birthday
421,1508,16,6/8/2015,21:15,6,COMPLETED,
422,1050,27,4/13/2015,18:45,5,COMPLETED,Quiet area
423,185,9,8/5/2015,16:15,6,COMPLETED,Quiet area
424,1052,3,6/24/2015,18:15,1,CANCELLED,Window seat
425,1080,30,11/19/2015,21:00,8,COMPLETED,Quiet area
426,1858,14,9/2/2015,15:15,2,CONFIRMED,Birthday
427,1072,27,8/7/2015,15:00,3,CANCELLED,
428,1052,30,2/25/2015,19:45,1,COMPLETED,
429,728,15,5/11/2015,20:00,4,CANCELLED,
430,368,4,4/4/2015,17:00,8,CONFIRMED,Quiet area
431,643,29,10/28/2015,22:45,4,CANCELLED,Quiet area
432,700,20,4/6/2015,14:15,4,CONFIRMED,
433,889,9,10/1/2015,11:00,2,COMPLETED,
434,1344,1,9/2/2015,18:45,2,CANCELLED,
435,621,24,11/13/2015,20:30,8,CANCELLED,Quiet area
436,180,26,3/6/2015,13:00,4,CONFIRMED,
437,1426,27,4/7/2015,11:15,1,COMPLETED,Window seat
438,893,21,11/17/2015,19:15,3,CONFIRMED,Birthday
439,304,25,8/31/2015,17:00,8,CONFIRMED,Window seat
440,1514,29,12/26/2015,18:45,2,COMPLETED,
441,1199,28,5/5/2015,14:30,8,CANCELLED,Quiet area
442,17,2,2/22/2015,21:45,5,COMPLETED,Quiet area
443,76,24,9/7/2015,17:45,4,CANCELLED,
444,475,24,1/1/2016,11:00,8,COMPLETED,
445,549,11,11/28/2015,17:45,2,CONFIRMED,Quiet area
446,919,20,12/24/2015,17:00,5,CONFIRMED,Birthday
447,962,24,6/26/2015,18:15,3,CANCELLED,Window seat
448,1888,19,11/5/2015,22:45,5,CONFIRMED,Birthday
449,1966,24,8/2/2015,21:30,6,COMPLETED,Window seat
450,579,20,12/20/2015,22:00,3,CANCELLED,Quiet area
451,409,5,3/22/2015,20:45,2,CONFIRMED,Quiet area
452,481,16,4/18/2015,19:00,4,CONFIRMED,Birthday
453,732,29,12/13/2015,13:15,4,CANCELLED,
454,692,26,8/9/2015,12:15,2,CONFIRMED,
455,529,8,6/24/2015,16:00,8,CANCELLED,Birthday
456,1748,29,12/20/2015,19:00,2,CANCELLED,
